Company_ID,ROA,ROE,Debt_to_Equity,Current_Ratio,Asset_Turnover,Revenue_Growth,Operating_Cash_Flow,Board_Size,Independent_Directors_Percent,Institutional_Ownership,Audit_Committee_Size,Fraud_Label
1,-0.012729940576318766,-0.23829431626409403,2.902779803589605,2.444770862233466,1.8286430174737494,-0.026359181533301523,29258379.292043358,10,36.29200897451015,87.06842008827431,6,No Fraud
2,0.27535715320495807,-0.2530212009280002,4.0466184135699335,1.0171590863154987,1.7494792105915067,-0.06708790376859675,-5198045.814043801,14,21.991257813500088,20.35471732409907,2,Fraud
3,0.16599697090570253,0.4062545805210367,3.8247885559717796,3.1171836900644445,0.32981007679205837,-0.22384608749713997,4539788.68722434,15,51.02088343320296,55.53696780068058,2,No Fraud
4,0.09932924209851829,-0.2504538001504939,0.8541095329994911,2.3393487172077245,2.31417377177392,0.20726667010148792,36420760.788755044,7,31.801186047611683,41.26315674549353,5,No Fraud
5,-0.12199067977878175,-0.228050273871369,0.8313224017332221,0.9716116506708627,1.464333285176367,0.07662416050862886,21721151.220729183,15,65.47077757594826,33.46036738220481,3,No Fraud
6,-0.12200273983189869,0.2593982624179637,1.4140544019500754,3.3870141724436205,0.9729412507256421,0.46570099232400364,45678143.707222685,6,58.47197799392889,53.0788433721879,6,No Fraud
7,-0.17095819391590028,-0.050260157549460005,1.8692661590710826,2.055096390005962,1.915692600388736,-0.36789041951794177,15725084.500481255,11,75.41616007867506,71.50256292400178,3,No Fraud
8,0.23308807288746758,0.2767105569551812,2.101432348901565,0.718695355614965,0.7176771001639217,0.24386792755512632,42188741.94883539,12,66.97930143594415,6.959486592842859,2,No Fraud
9,0.10055750587160439,-0.43463384243561476,3.430516362483392,2.380498713245202,1.7644236089111691,0.3629488785115611,16937326.248694252,14,30.84655729044361,87.39900956812588,6,No Fraud
10,0.15403628889802273,-0.012428806326615693,0.37773411761259346,1.2595967210384307,0.19530689817339333,0.359486569188307,48754896.722119115,5,68.00949419988778,73.83993478498542,2,Fraud
11,-0.1897077528520988,-0.46638639981671737,0.26989625070772527,2.911080355631907,2.114579290262253,0.4860739670955251,47590062.883932605,10,58.504222688841395,68.84806480987416,2,No Fraud
12,0.28495492608099715,-0.4373467965446455,2.0203617584251545,2.953466220698572,1.1756100328511645,0.32903374282949405,9748202.333364818,11,60.137098505637496,69.6329274853428,4,No Fraud
13,0.21622132040021086,0.40643745334441095,3.5161020914761045,3.4368420675639855,1.62806299445906,0.5278100616476963,43155420.22500819,17,69.93577315820892,38.07016031758547,2,Fraud
14,-0.09383044466086193,-0.36075462888240484,1.0478331804867647,2.0056085930735112,0.6309707675360408,-0.06734340017910856,40856682.45293895,13,54.42944415133641,68.88774682180917,5,No Fraud
15,-0.1090875163964497,0.032420682275217105,3.2433719581556337,1.8648706391832115,1.7249769103802752,0.10320941675154305,2640823.8396537695,16,47.96021086118077,37.8754677312514,2,Fraud
16,-0.1082977450732831,-0.08890439739929346,1.3731578759074676,2.760426816339442,1.9533766621438637,-0.38592033671710935,27457424.046996184,7,58.198462121523676,81.39008051385741,6,No Fraud
17,-0.04787887852023115,-0.15265667374115732,4.44182193318623,0.8974119690257797,1.235711648522557,-0.3930424126967088,-5639061.064611108,6,37.877445737501546,20.063902581049923,5,No Fraud
18,0.06237821581611891,0.39983334568727247,4.488880726906421,2.1407465413793725,1.5825446177483065,-0.15987337954848013,40202643.235007696,9,30.955827865225956,29.849531058287877,2,No Fraud
19,0.01597250932105787,-0.4781766032245105,1.5567073009785,2.138742800392553,1.1951822171737565,-0.29919280286091476,472753.01020979136,17,56.99527028427478,51.86369112942147,5,No Fraud
20,-0.054385429900979054,0.1637896861755891,1.2269693944198787,0.7684193684311617,2.245819286218829,-0.1397886320642464,-5751117.916854129,14,34.030902145128664,32.13293805041816,2,No Fraud
21,0.10592644736118972,0.4633944342135504,2.1153894631245334,1.7539522565207406,1.2948860332343661,-0.22295670547160262,14013145.732328672,5,24.794906560796406,41.06016585009824,5,No Fraud
22,-0.1302530696739791,0.06016818346184194,1.278604767382729,3.059854395701606,2.1203409016691652,-0.3714799751613518,24615328.31597861,17,20.033251075115235,46.855928598880546,3,No Fraud
23,-0.053927675732390934,0.43682246203309183,3.3946808321293482,3.068460865983981,2.0232449398485963,0.5093041464060494,41295017.51358626,10,56.49916408400403,77.79003464914824,4,No Fraud
24,-0.01681907835315416,-0.44774212071397623,4.147716954286599,0.797712994759043,1.0852115712360557,-0.3917768686111085,48454551.53130419,13,41.72892700881421,49.47134155673889,5,No Fraud
25,0.028034992108517953,-0.0812066809258386,3.3981514414649636,0.7721626482434926,0.65220278045794,0.3360821443370854,16369550.75419182,14,65.13865824040735,35.80908713223764,6,Fraud
26,0.1925879806965068,-0.23984220903794884,4.139317191521813,1.288086431005806,1.0745971181434504,-0.2478521130804835,-6373184.620883787,13,42.51058389878615,26.057573942984842,4,Fraud
27,-0.10016310892082014,0.2308209649807298,2.0452615948166235,3.1242981876619806,2.082921701860528,0.5122296219996,34946934.74155224,11,49.1602068942936,39.737458197336764,4,No Fraud
28,0.05711721920680579,0.48129709049724667,0.8659531564734182,0.8867077552204968,0.6463180859665416,0.49279593958988577,23910395.37343625,15,44.425098368923095,48.83756887522144,2,Fraud
29,0.09620728443102122,-0.2434699375557522,3.715959642248202,2.6599904078823386,1.3586472300585986,0.2539011463692573,16873480.69066779,11,59.03448746656077,68.41976286227509,5,No Fraud
30,-0.17677479364000115,0.15417460147407447,1.8663250751936142,0.8034968588393097,2.034632195105794,0.2722341498006051,8556132.727531381,12,41.368349720898095,15.289145974648786,4,No Fraud
31,0.10377242595071917,-0.3019023672402599,3.3892270436227494,2.3694135612434764,0.948345940308109,-0.3946608580303115,20143911.67061214,14,77.82605899653853,23.836781000327825,6,No Fraud
32,-0.11473793815635425,0.0653302545716099,1.426155315710652,1.5682018973574343,1.6413031288064739,0.584871566113602,10320776.267421857,6,76.16881919591181,37.27059134883722,6,No Fraud
33,-0.16747420350736025,-0.0360675133116638,0.4980252105526961,2.866741888897601,0.6895157777171548,0.47783260357581436,35420712.06484162,10,70.88167415943688,35.63386443515874,6,Fraud
34,0.2744427686266666,0.4720053296315371,4.963650797890041,1.2010713464760907,0.36227066888358384,0.495106225730092,22633621.789558463,9,75.21801623436488,38.298587446442994,2,No Fraud
35,0.28281601653727967,0.10852727269646656,0.8653873888599365,2.4176054881698796,2.006522140222855,0.2592445370508719,42610866.44924672,9,46.94838130756346,72.44930749442759,3,No Fraud
36,0.20419867405823056,-0.15049362791318122,4.943262870421057,1.2070476037276547,0.33752469618089637,-0.055213071345463494,22612634.878966525,17,52.18582380736953,32.553124251784716,5,No Fraud
37,-0.04769311541331467,-0.38590421511206663,4.888671669575592,2.6409808493364615,0.751315348191003,0.4936486490904808,4295744.800395802,7,64.52555555349467,47.661345334226496,4,No Fraud
38,-0.15116394299680808,-0.34875317126506544,3.9897087091493946,3.121034103682246,2.1522626127938564,-0.10848307184880768,41065512.93392867,7,61.768755496312465,58.032097792921206,5,No Fraud
39,0.14211651325607844,-0.2746830700487649,3.3311725142017883,0.8804053973802801,0.9315262889888012,0.16271154334220284,23433142.695802636,10,73.44071573632826,24.735176765606436,4,No Fraud
40,0.02007624686980064,-0.249033338659702,2.9312545462303152,3.0997870657865105,2.4353088388339867,-0.3002690276561176,2410462.288613675,16,62.97986163540172,66.08910790754081,2,No Fraud
41,-0.1389808825776106,0.3506160578411378,4.3438975723513895,2.2807257632428937,2.451362403457263,0.5219556301327501,27410468.59737333,14,79.87308249370764,51.50446217775389,5,No Fraud
42,0.04758845505563508,0.06122278828252492,1.518253655935491,0.8813314726010719,0.743862449088536,-0.2592295422287867,11463005.896545652,17,40.91034798989546,42.976398857667135,2,No Fraud
43,-0.1828057394423908,0.02339091137436644,2.391637941175898,1.782625566079136,0.1983477333997371,-0.17510319426959275,40664336.73752395,14,69.97986453436508,73.83164227275668,2,No Fraud
44,0.254660201039391,-0.38523112813078253,3.1350108498958598,0.9825808804552937,1.7921518820929099,0.15813415812821496,17197984.31879257,11,61.85808936995985,25.69709703074047,5,No Fraud
45,-0.07061000919999155,0.36013969334943496,2.1148333317605066,2.6010436665997085,1.182367606356025,0.3640930002129815,33586481.486445,5,61.483186712901116,80.06995750221748,5,No Fraud
